,Unnamed: 0,text,target
0,1706,from jburrillboihpcom jim burrill subject question about islamic view    organization idaho river country the salmon payette clearwater boise selway priest xnewsreader tin version 118 pl6 lines 8  a question regarding the islamic view towards homosexuality came up in a discussion group that i participate in and id like to ask the question here  what is the islamic view towards homosexuality               jim burrill jburrillboihpcom  ,3
1,1545,from hrs1cbnewsicbattcom hermanrsilbiger subject ansiaiim ms53 standard image file format organization att keywords image file format lines 6   wing the suggestion of stu lynne i have posted the image file format executable and source code to altsources  herman silbiger   ,1
2,297,from apd2cvirginiaedu andrew paul dickens subject re computer graphics to vcr organization university of virginia lines 16   9getting an image from a computer monitor to a videotape is harder than it looks  the standard vga and ega outputs are  very different than the ntsc format used by televisions  while there is equipment that will do the conversion it is hard to get your hands on and costs quite a bit  9if you have access to an amiga computer that has an ntsc output you can transfer certain types of graphic files by modem and tape them from the ntsc output  unfortunately this would be framebyframe and would lead to unbelievably scratchy animation unless you had a good amiga animation program  9otherwise see if your local public access cable station has equipment that you can use  ,1
3,681,from higginsfnalffnalgov bill higgins beam jockey subject which gehrels was re comet in temporary orbit around jupiter organization fermi national accelerator laboratory lines 30 nntppostinghost fnalffnalgov  in article 1993apr2117081715845sqsqcom msbsqsqcom mark brader writes      also perijoves of gehrels3 were    thanks again  one final question  the name gehrels wasnt known to  me before this thread came up but the may issue of scientific american  has an article about the inconstant cosmos with a photo of neil  gehrels project scientist for nasas compton gamma ray observatory  same person  i would guess not  dr neil gehrels of cgro is the son of dr tom gehrels of the university of arizona  since hes long had research interests in asteroids and other solarsystem astronomy tom is the one more likely to have discovered  a comet and thus had his name attached to it  tom gehrels is a leader in the spacewatch project which has recently increased mankinds discovery rate on nearearth asteroids theyre finding a couple every month  for much more on this interesting guy read his autobiography on a glassy sea  do you know the asteroids mrkemp    bill higgins hundreds of thousands of them  all         wandering around the sun in strange        fermilab orbits  some never named never charted  the orphans of the solar         higginsfnalfnalgov system mr kemp                                            higginsfnalbitnet and you want to become a father   moon zero two                        spanhepnet 43011higgins ,2
4,1653,from davidterminusericssonse david bold subject re question for those with popular morality replyto davidterminusericssonse distribution world organization camtec electronics ericsson leicester england lines 89 nntppostinghost bangkok  in article fo2murdochaccvirginiaedu pmyvivaldiaccvirginiaedu pete yadlowsky writes  moral driver distinctions deleted  in this case the driver does not evolve but simply is there would probably not be any manifestation in an infant  because the moral code has not been learnt yet ie the object upon which the driver acts upon   without manifestation though how can the driver be detected for all purposes it seems not to exist until moral coding begins actually i agree with your notion of a driver except that i think its not moral but pre and supermoral it is as i mentioned earlier in this thread a primal sense of connection a pre and postnatal umbilical the awareness of which is expressed in a partial fragmented way that accomodates and forms in return the language and customs of a given culture this halting pidginenglish expression is i think what we come to call morality   compare the driver to an urge such as jealousy where there is an urge and an object the jealousy does not technically exist until the object is apparent however the capacity to be jealous is presumably still there even though it is not detectable  your description of the unbilical took me three passes to understand  but i get the gist and i have to tentatively agree i think our two definitions can sit side by side without too much trouble though i havent attempted to define the reason behind the moral driver only hinted through the essence of each moral your definition hints that animals are also capable of a similar morality  simians have a similar social order to ourselves and it is easy to anthropomorphize with these animals is this possible or have i misunderstood   if my suggestion holds true then this is the area where work must be carried out to prevent a moral deterioration of society  what kind of work exactly  well here you have asked the big question  i have a slight suspicion that you were hoping i would say something really contentious in this reply from your final question  no not at all i was just wondering if you subscribed to some particular school of psychosocial thought and rehabilitation and if perhaps you had a plan id have been interested to hear it    my ps thoughts falls roughly in line with john stuart mill and his writings on utilitarianism i have no particular plan except to do my bit  personal ethics and social work my opinion for what it is worth is that the authority for each moral must be increased somehow and that this will probably take several generations to be effective i dont think that the list of morals has changed for society significantly though  the authority element may come from our authority figures and roles models see eric berne and his transactional analysis work  mavis klein for references and this is what gives rise to a deterioration of moral standards in the long term  ive had some more thoughts on my definitions  ive was thinking that i should add moral character to the list of definitions in order to get a dynamic version of the moral nature ie the interplay of the moral code and associated authorities a suitable analogy might be a graphic equaliser on a hifi system  the moral nature being the set of frequencies and the chosen amplitudes and the moral character being the spectrum over time  conscience is a little more difficult because i cant define it as the reasoning of a person between actions in the context of his moral nature because conscience seems to cut in most of the time unbidden and often unwanted i think conscience is manifest when a decision is made at a given time which compromises ones moral nature my conscience fits in more with freuds superego plus the moral driver with the stimulous being the urges or freuds id the reasoning that i mentioned before is freuds ego i suppose if the moral driver is part of the id then the reason why conscience cuts in unbidden is partially explained the question is what provides the stimulous to activate the moral driver i think i need some more time with this one  thats about it for now  david   on religion  oh where is the sea the fishes cried as they swam its clearness through  ,3
5,1790,from henryzootorontoedu henry spencer subject re orbital repairstation organization u of toronto zoology lines 21  in article c5mtyj12qwellsfcaus collinswellsfcaus steve collins writes the difficulties of a high isp otv include if you go solar you have to replace the arrays every trip with current technology  youre assuming that go solar  photovoltaic  solar dynamic power turboalternators doesnt have this problem  it also has rather less air drag due to its higher efficiency which is a nontrivial win for big solar plants at low altitude  now you might have to replace the rest of the electronics fairly often unless you invest substantial amounts of mass in shielding  nuclear power sources are strongly restricted by international treaty  references  such treaties have been proposed but as far as i know none of them has ever been negotiated or signed   all work is one mans work              henry spencer  u of toronto zoology                      kipling             henryzootorontoedu  utzoohenry ,2
6,1193,from dickeneyaccessdigexcom dick eney subject re swastika was hitler  pagan or christian organization express access online communications greenbelt md usa lines 15 nntppostinghost accessdigexnet  the observation that the tree of life would rotate clockwise in the northern hemisphere and counterclockwise in the southern probably doesnt give enough consideration to the feebleness of the coriolis force compared to say the phototropism of vegetation  a much more likely explanation is the classic one that the clockwise swastika is the sunwheel because the sun progresses across the sky that way  although thats not the historical way it happened clocks were first made as little imitation images of the sun moving thru the heavens  so its more valid to talk of the clock going sunwise but do the engineers listen to me  of course not  anyway there is still much uncertainty about whether the antiswastika goes countersunwise because that represents evil or because it is the suns twinopposite the moonwheel  the use of antisun to represent evil may be because humans are so strongly visuallyoriented but im not going to try to settle that one just now  diccon frankborn dickeneyaccessdigexcom ,3
7,648,from quansolsurvutaseduau stephen quan subject re fast polygon routine needed keywords polygon needed organization university of tasmania australia lines 22  ospreyux4csouiucedu lucas adamski writes  in article 1993apr1719294711230sophiasmithedu orourkesophiasmithedu joseph orourke writes in article c5n3x0b5lnewscsouiucedu ospreyux4csouiucedu lucas adamski writes  but im looking for a fast polygon routine to be used in a 3d game a fast polygon routine to do what to draw polygons of course  its a vga mode 13h 320x200 game   hi ive come across a fast triangle filldraw routine for mode 13h  by calling this routine enough times you have a fast polygon drawing routine  i think i ftped from wuarchivewustledupubmsdosuploadsprogramming i have a copy of it so i reupload it there  the triangletxt file has this to say     c and inline assembly source for a vga mode 13h triangle drawer   stephen quan quansolsurvutaseduau      tel  002 202844 local research fellow computer scientist          fax  002 240282 local centre for spatial information systems       tel  61 02 202844 university of tasmania australia            fax  61 02 240282 ,1
8,612,from timmbakemclucsbedu bake timmons subject re amusing atheists and agnostics lines 76   chris faehl writes   many atheists do not mock the concept of a god they are shocked that  so many theists have fallen to such a low level that they actually  believe in a god  you accuse all atheists of being part of a conspiracy  again without evidence   rule 2  condescending to the population at large ie theists will not  win many people to your faith anytime soon  it only ruins your credibility  fallacy 1 atheism is a faith lo i hear the faq beckoning once again wonderful rule 3 deleted  youre correct you didnt say anything about a conspiracy  correction hard atheism is a faith   rule 4  dont mix apples with oranges  how can you say that the  extermination by the mongols was worse than stalin  khan conquered people  unsympathetic to his cause that was atrocious but stalin killed millions of  his own people who loved and worshipped him and his atheist state  how can  anyone be worse than that  i will not explain this to you again stalin did nothing in the name of atheism whethe he was or was not an atheist is irrelevant  get a grip man  the stalin example was brought up not as an indictment of atheism but merely as another example of how people will kill others under any name thats fit for the occasion   rule 6  if you rely on evidence state it  were waiting  as opposed to relying on a bunch of black ink on some crumbling old paper atheism has to prove nothing to you or anyone else it is the burden of dogmatic religious bullshit to provide their evidence which we might you be referring to and how long are you going to wait  so hard atheism has nothing to prove  then how does it justify that god does not exist  i know theres the faq etc  but guess what  if those justifications were so compelling why arent people flocking to hard atheism  theyre not and they wont  i for one will discourage people from hard atheism by pointing out those very sources as reliable statements on hard atheism  second what makes you think im defending any given religion  im merely recognizing hard atheism for what it is a faith  and yes by we i am referring to every reader of the post  where is the evidence that the poster stated that he relied upon   oh yes though im not a theist i can say safely that by definition many  theists are not arrogant since they boast about something outside  themselves namely a god or gods  so in principle its hard to see how  theists are necessarily arrogant  because they say suchandsuch is absolutely unalterably true because           my dogma says it is true i am not prepared to issue blanket statements indicting all theists of arrogance as you are wont to do with atheists  bzzt  by virtue of your innocent little pronoun they youve just issued a blanket statement  at least i will apologize by qualifying my original statement with hard atheist in place of atheist  would you call john the baptist arrogant who boasted of one greater than he  thats what many christians do today  how is that in itself arrogant   im not worthy only seriously misinformed with your sophisticated putdown of they the theists your serious misinformation shines through   bake timmons iii   theres nothing higher stronger more wholesome and more useful in life than some good memory  alyosha in brothers karamazov dostoevsky ,0
9,324, howlandrestonansneteuropaenggtefsdcomuunetmcsungermanyeunetnewsdfndetubsibrdbstu1rztubsdei3150101 subject re gospel dating from i3150101dbstu1rztubsde benedikt rosenau organization technical university braunschweig germany lines 35  in article 66015mimsyumdedu mangoecsumdedu charley wingate writes   deletion i cannot see any evidence for the v b which the cynics in this group would ever accept  as for the second it is the foundation of the religion anyone who claims to have seen the risen jesus back in the 40 day period is a believer and therefore is discounted by those in this group since these are all ancients anyway one again to choose to dismiss the whole thing  the third is as much a metaphysical relationship as anything else even those who agree to it have argued at length over what it means so again i dont see how evidence is possible    no cookies charlie the claims that jesus have been seen are discredited as extraordinary claims that dont match their evidence in this case it is for one that the gospels cannot even agree if it was jesus who has been seen further there are zillions of other spook stories and one would hardly consider others even in a religious context to be some evidence of a resurrection   there have been more elaborate arguments made but it looks as if they have not passed your post filtering     i thus interpret the extraordinary claims claim as a statement that the speaker will not accept any evidence on the matter   it is no evidence in the strict meaning if there was actual evidence it would probably be part of it but the says nothing about the claims     charlie i have seen invisible pink unicorns by your standards we have evidence for ipus now    benedikt ,0
